"","Sex","First.Gen","Financial.Aid","Distance","Quaker","Athlete","Legacy","Num.Visits","Num.Virtual","Percent.Click","Interest.Area"
"59","F",0,1,37.8634140643778,0,1,0,2,0,0.166666666666667,"Humanities"
"60","M",0,1,35.3337546124561,0,0,0,0,0,0.0344827586206897,"NatSci"
"61","M",1,1,67.0198615418354,0,0,0,0,0,0,"NatSci"
"62","F",0,1,392.638760868944,0,0,0,0,0,0.147058823529412,"SocSci"
"63","M",1,1,51.7729557185352,0,1,0,0,0,0,"NatSci"
"64","M",0,1,1938.42465919253,0,1,0,0,0,0,"SocSci"
"65","M",1,1,586.451527657922,0,0,0,1,0,0.19047619047619,"NatSci"
"66","F",0,1,95.9298133249892,0,0,0,0,0,0.024390243902439,"SocSci"
"67","F",0,1,111.513062159834,0,0,0,0,0,0.2,"SocSci"
"68","F",1,1,60.5014796869298,0,0,0,0,0,0.0263157894736842,"Arts"
"69","F",1,1,84.7859470885271,0,0,0,1,0,0.0714285714285714,"SocSci"
"70","M",0,1,56.4218276061075,0,1,0,0,0,0,"NatSci"
"71","F",0,1,270.013316025422,0,0,1,1,0,0,"SocSci"
"72","M",0,1,17.1248042623754,0,1,0,1,0,0,"SocSci"
"73","F",1,1,201.299729082635,0,0,0,0,0,0.0422535211267606,"NatSci"
"74","M",0,0,848.318477402737,0,0,0,1,0,0.05,"NatSci"
"75","F",1,1,513.010265922321,0,1,0,1,0,0.025,"SocSci"
"76","F",0,1,66.6795633228969,0,1,0,1,0,0.0181818181818182,"NatSci"
"77","F",0,1,0.932642355202459,0,0,1,0,0,0.0576923076923077,"Inter"
"78","F",1,1,124.015350646376,0,0,0,0,0,0,"Undecided"
"79","F",0,1,1889.19816494495,0,0,0,0,0,0,"Undecided"
"80","M",0,1,136.272394733275,0,1,0,2,0,0.0625,"NatSci"
"81","M",0,1,101.850266926739,0,0,0,0,0,0.0975609756097561,"SocSci"
"82","F",1,1,50.7713302551164,0,0,0,1,0,0.025974025974026,"Arts"
"83","F",0,1,89.4989085710617,0,0,0,1,0,0.00671140939597315,"SocSci"
"84","F",0,0,36.3920340387035,0,1,0,1,0,0.0303030303030303,"Undecided"
"85","F",0,1,1316.7648216108,0,1,0,0,0,0,"Inter"
"86","F",0,1,46.1472966034577,0,0,0,0,0,0,"Undecided"
"87","F",0,1,816.747190909177,0,0,0,0,0,0.0833333333333333,"Humanities"
"88","F",0,1,799.407357619112,0,0,0,2,0,0.1875,"Humanities"
"89","F",1,1,1888.63975491303,0,0,0,0,0,0,"Arts"
"90","M",1,1,782.084869332422,0,0,0,0,0,0.0555555555555556,"NatSci"
"91","F",1,1,121.728130993119,0,0,0,0,0,0.142857142857143,"SocSci"
"92","M",0,1,420.471489329097,1,1,1,1,0,0.0638297872340425,"NatSci"
"93","F",0,1,58.3841278540492,0,1,0,0,0,0.0138888888888889,"SocSci"
"94","F",1,1,68.5043344581943,0,0,0,0,0,0.0142857142857143,"SocSci"
"95","M",0,1,53.3532523988523,0,0,0,1,0,0,"Undecided"
"96","F",1,1,210.97633355394,0,0,0,0,0,0,"SocSci"
"97","F",1,1,1926.51490752984,0,0,0,0,0,0.0384615384615385,"NatSci"
"98","F",0,1,261.197328185945,0,0,0,1,2,0.0405405405405405,"Humanities"
"99","M",1,1,67.892541133336,0,1,0,1,0,0,"Humanities"
"100","M",0,1,55.7016013981302,0,0,0,0,0,0.024390243902439,"SocSci"
"101","M",1,1,1062.41478471111,0,1,0,1,0,0.0714285714285714,"SocSci"
"102","F",1,1,197.965632102372,0,0,0,0,0,0.0138888888888889,"SocSci"
"103","F",0,1,578.325876087458,0,0,0,0,0,0.0666666666666667,"Arts"
"104","F",1,1,24.024664774342,1,0,0,0,0,0.0416666666666667,"Inter"
"105","M",1,1,833.517462497958,0,1,0,0,0,0.157894736842105,"SocSci"
"106","M",0,1,63.8435057098967,0,0,0,1,0,0.0123456790123457,"Humanities"
"107","F",1,1,55.6873365511284,0,1,0,0,0,0.217391304347826,"SocSci"
"108","F",0,0,59.6953427115777,0,0,0,1,0,0.0819672131147541,"Arts"
"109","M",1,1,1831.89886658492,0,1,0,0,0,0,"SocSci"
"110","F",0,1,567.004459101143,0,1,0,0,0,0,"Humanities"
"111","M",0,1,421.113201345622,1,0,1,1,0,0.0344827586206897,"NatSci"
"112","F",0,0,68.5137693304088,0,0,0,0,0,0.0344827586206897,"SocSci"
"113","F",0,1,226.721717091012,0,1,0,0,0,0,"NatSci"
"114","F",0,1,141.631194932808,0,0,0,0,0,0.125,"Humanities"
"115","M",0,1,13.3198391377081,0,1,0,1,0,0.019047619047619,"SocSci"
"116","M",0,1,124.507755941271,0,0,0,0,0,0.0333333333333333,"SocSci"
"117","F",0,1,1863.05414476076,0,0,0,0,0,0.08,"Arts"
"118","M",1,1,1209.22651465697,0,0,0,0,0,0,"NatSci"
"119","F",1,1,135.975284344771,0,1,0,0,0,0.0652173913043478,"SocSci"
"120","F",1,1,119.770164206669,0,0,0,1,0,0.206896551724138,"NatSci"
"121","F",0,0,991.75889636888,0,0,0,0,0,0,"NatSci"
"122","M",1,1,920.091822996319,0,0,0,0,0,0.145454545454545,"NatSci"
"123","M",1,1,205.448608373506,0,0,0,0,0,0.0111111111111111,"NatSci"
"124","M",0,1,440.904402519363,1,1,0,1,0,0.015625,"SocSci"
"125","F",0,1,418.526984778676,1,0,0,0,1,0.140845070422535,"SocSci"
"126","F",0,1,93.2567121841179,0,1,0,2,0,0.196428571428571,"NatSci"
"127","F",1,1,81.152453964095,0,0,0,0,0,0.0517241379310345,"Inter"
"128","M",1,1,394.103995738549,0,0,0,0,0,0.0517241379310345,"Inter"
"129","F",0,1,233.26869069306,0,0,0,0,0,0.037037037037037,"NatSci"
"130","F",0,1,1894.57939563145,0,0,0,1,2,0.191780821917808,"SocSci"
"131","F",0,1,65.8555917429511,0,0,0,2,0,0.0869565217391304,"SocSci"
"132","F",0,1,70.3609556732048,0,1,0,1,0,0,"SocSci"
"133","F",0,1,172.069857518369,0,0,0,0,1,0.0217391304347826,"SocSci"
"134","F",1,1,2.65121480317424,0,0,0,0,0,0.03125,"SocSci"
"135","F",0,1,500.006358900989,1,0,0,0,0,0.0612244897959184,"Inter"
"136","F",0,0,2018.66096963802,0,0,0,0,0,0.0714285714285714,"SocSci"
"137","F",1,1,116.173239339754,0,0,0,0,0,0.0227272727272727,"Undecided"
"138","F",1,1,1.96828743711711,0,0,0,0,0,0,"SocSci"
"139","F",1,1,206.499036971221,0,0,0,0,0,0.115384615384615,"NatSci"
"140","M",0,0,600.192759242481,0,0,0,0,0,0.0256410256410256,"SocSci"
"141","F",1,1,279.424540261945,0,1,0,0,0,0.4,"Undecided"
"142","F",0,1,509.501279268406,0,0,0,2,0,0.212121212121212,"Undecided"
"143","M",0,1,218.048392002712,0,0,0,1,0,0.169230769230769,"SocSci"
"144","F",0,1,181.212477224518,0,0,0,0,0,0.0652173913043478,"SocSci"
"145","F",0,0,114.703311421873,0,0,0,1,4,0.119402985074627,"NatSci"
"146","F",0,1,644.907038019591,0,1,0,1,0,0,"NatSci"
"147","F",0,1,267.918113213618,0,0,0,0,0,0.0263157894736842,"Humanities"
"148","F",0,1,68.9516350832275,0,0,0,0,0,0.166666666666667,"NatSci"
"149","M",1,1,26.6404807378843,0,1,0,0,0,0,"NatSci"
"150","M",1,1,846.987139480574,0,0,0,1,0,0.0625,"NatSci"
"151","M",0,0,51.5921009201172,0,1,0,1,0,0.116666666666667,"SocSci"
"152","M",0,1,1880.50518838532,0,0,0,0,1,0.102272727272727,"Inter"
"153","F",0,1,1943.50590582955,0,0,0,1,0,0.133333333333333,"SocSci"
"154","F",1,1,183.71981255942,0,0,0,0,0,0,"Undecided"
"155","F",1,1,140.587090015517,0,1,0,1,0,0,"NatSci"
"156","M",1,1,914.43609559946,0,0,0,0,0,0.0149253731343284,"NatSci"
"157","M",0,0,202.135449189954,0,1,0,1,0,0.0845070422535211,"NatSci"
"158","M",0,1,725.908481016893,0,0,0,0,0,0.0416666666666667,"Humanities"
"159","M",0,1,62.5814388920133,0,1,0,1,0,0.0103092783505155,"SocSci"
"160","F",0,0,735.665623040369,0,0,0,1,0,0.181818181818182,"SocSci"
"161","M",0,1,1929.52613956891,0,0,0,1,0,0.0909090909090909,"Arts"
"162","F",0,1,168.304318829907,0,0,0,0,0,0,"SocSci"
"163","M",0,1,39.6031496759946,0,1,0,1,0,0.025974025974026,"SocSci"
"164","F",0,1,581.437197716133,0,0,0,1,0,0.259259259259259,"SocSci"
"165","F",0,1,204.885859493546,0,1,0,0,0,0.0714285714285714,"SocSci"
"166","F",1,1,206.632444068174,0,0,0,0,0,0.0833333333333333,"NatSci"
"167","F",0,1,179.45592817525,0,1,0,0,0,0,"SocSci"
"168","F",1,1,871.315941103848,0,0,0,0,0,0.327586206896552,"NatSci"
"169","F",0,1,1164.80177633294,0,0,0,1,0,0.1,"NatSci"
"170","F",1,1,921.617750483092,0,0,0,0,0,0,"NatSci"
"171","M",1,1,566.121172150812,0,1,0,0,0,0.0555555555555556,"Undecided"
"172","M",1,1,26.8009451207149,0,0,0,0,0,0,"NatSci"
"173","F",1,1,57.9564875073352,0,1,0,0,0,0,"NatSci"
"174","F",1,1,1551.23129124527,0,0,0,0,0,0.19047619047619,"NatSci"
"175","F",1,1,2003.89114904527,0,0,0,0,6,0.196078431372549,"SocSci"
"176","M",0,1,371.192513982051,0,1,0,0,0,0.0394736842105263,"Undecided"
"177","M",1,1,36.6054865273644,0,1,0,2,0,0.12,"NatSci"
"178","F",1,1,199.92831777737,0,0,0,0,1,0.172043010752688,"SocSci"
"179","M",0,1,500.527518171134,0,1,0,0,0,0.0588235294117647,"SocSci"
"180","F",1,1,39.073630206524,0,0,0,0,0,0.0087719298245614,"NatSci"
"181","M",0,0,38.0651754152822,0,1,0,1,0,0.222222222222222,"Inter"
"182","F",0,1,410.072120527458,0,1,0,0,0,0.0784313725490196,"SocSci"
"183","F",0,1,99.1504394121458,0,0,0,0,0,0.036697247706422,"SocSci"
"184","M",1,1,1868.10439400757,0,1,0,1,0,0,"NatSci"
"185","M",0,1,928.155261964418,0,1,1,1,0,0.024390243902439,"NatSci"
"186","M",0,1,55.0641976919452,0,1,0,0,0,0.1,"NatSci"
"187","F",1,1,132.635937886105,0,0,0,0,0,0,"NatSci"
"188","F",1,1,1882.77300666521,0,0,0,0,0,0.0285714285714286,"SocSci"
"189","F",0,1,66.2392450915519,0,0,0,0,0,0.0526315789473684,"NatSci"
"190","M",0,1,517.512797943614,1,1,1,0,0,0.133333333333333,"NatSci"
"191","M",0,0,670.470547036879,0,1,0,0,0,0.024390243902439,"NatSci"
"192","F",1,1,53.1733652171188,0,0,0,0,0,0,"SocSci"
"193","F",0,1,206.323998392065,0,0,0,2,0,0.0892857142857143,"NatSci"
"194","F",0,1,3.86563101936303,0,0,1,1,0,0.0434782608695652,"NatSci"
"195","F",0,1,38.0979792127053,0,0,0,0,0,0.0769230769230769,"NatSci"
"196","F",1,1,904.134286764631,0,0,0,0,0,0.0256410256410256,"Humanities"
"197","M",0,1,47.7725830871533,0,0,0,1,0,0.25,"Humanities"
"198","F",0,1,129.18651686132,0,1,1,0,0,0.0117647058823529,"NatSci"
"199","M",0,1,223.325055269629,0,1,0,0,0,0.0909090909090909,"Undecided"
"200","M",0,1,1043.90106622934,0,0,0,0,0,0.0256410256410256,"NatSci"
"201","F",1,1,710.218723572043,0,1,0,1,0,0.0826446280991736,"SocSci"
"202","M",0,1,37.1514706620846,0,1,0,1,0,0.166666666666667,"NatSci"
"203","M",0,1,204.713621287783,1,1,0,0,0,0.188405797101449,"SocSci"
"204","M",0,1,192.230327302725,0,0,0,0,0,0.0666666666666667,"NatSci"
"205","F",1,1,569.012558180857,0,0,0,1,0,0.155555555555556,"SocSci"
"206","M",0,1,169.25367762463,0,1,0,1,0,0.1,"SocSci"
"207","F",0,1,407.02760127714,0,0,0,0,0,0.1,"SocSci"
"208","M",1,1,905.780838284244,0,1,0,0,0,0.0943396226415094,"NatSci"
"209","M",0,0,75.5457769258625,0,1,0,1,0,0.0136986301369863,"NatSci"
"210","F",1,1,209.196387147013,0,0,0,0,0,0,"NatSci"
"211","M",0,1,1879.45426440502,0,0,0,0,0,0.0166666666666667,"Undecided"
"212","M",0,0,232.705665120744,0,1,0,1,0,0.0408163265306122,"SocSci"
"213","M",0,1,217.042046424614,0,1,0,1,0,0,"SocSci"
"214","F",0,1,308.840816962228,0,0,0,0,0,0.0222222222222222,"Undecided"
"215","M",0,1,585.35651889205,0,0,0,0,0,0.0784313725490196,"NatSci"
"216","M",0,1,1054.17690522934,0,1,0,0,0,0.02,"Undecided"
"217","F",1,1,45.4328035821661,0,1,0,0,0,0.0222222222222222,"NatSci"
"218","M",0,0,64.9715086552908,0,0,0,1,0,0.0612244897959184,"Humanities"
"219","F",0,1,215.670350734448,0,0,0,1,0,0.0952380952380952,"SocSci"
"220","M",0,1,1875.54437099197,0,0,0,1,0,0.172413793103448,"Undecided"
"221","M",0,1,138.387003604823,0,1,0,1,0,0.173913043478261,"SocSci"
"222","F",0,1,204.255037616726,0,0,0,0,0,0.0285714285714286,"NatSci"
"223","F",1,1,540.45319161547,0,1,0,0,0,0.0208333333333333,"NatSci"
"224","M",1,1,1214.3104228174,0,1,0,0,0,0,"SocSci"
"225","F",1,1,74.2035742188421,0,0,0,0,0,0,"SocSci"
"226","F",0,1,37.5459244728573,0,0,0,0,0,0.0588235294117647,"SocSci"
"227","F",0,1,1926.7883772418,0,0,1,0,0,0.08,"SocSci"
"228","M",0,1,92.8910629932057,0,1,0,1,0,0.0135135135135135,"NatSci"
"229","F",0,0,41.1504128358267,0,0,0,0,0,0.0625,"Inter"
"230","F",0,1,36.4895258344678,0,0,0,1,0,0.0740740740740741,"Arts"
"231","M",0,1,998.790236377376,0,0,0,0,0,0.00819672131147541,"NatSci"
"232","M",0,1,961.637813842526,0,1,0,1,0,0.0689655172413793,"Inter"
"233","F",0,1,82.4659733950952,0,0,0,0,0,0,"Humanities"
"234","F",1,1,183.85481242059,0,0,0,0,0,0,"NatSci"
"235","F",0,0,579.82501971867,0,0,0,0,0,0.179487179487179,"Humanities"
"236","M",0,1,437.114459745318,0,1,0,0,0,0.0357142857142857,"Undecided"
"237","F",1,1,417.796035534101,1,0,0,1,0,0.306451612903226,"SocSci"
"238","M",1,1,1067.07421155325,0,0,0,0,0,0.105263157894737,"SocSci"
"239","F",0,1,1659.68199935761,0,1,0,0,0,0.1,"SocSci"
"240","M",0,0,100.123592935984,0,1,0,1,0,0.00757575757575758,"Inter"
"241","F",0,1,118.110886754114,0,0,0,0,0,0.0342857142857143,"NatSci"
"242","M",0,1,115.529945736126,0,1,0,1,0,0.1,"NatSci"
"243","F",0,1,580.802140911218,0,0,0,0,0,0.0769230769230769,"Undecided"
"244","F",1,1,37.1744194319969,0,0,0,0,0,0.0416666666666667,"SocSci"
"245","M",0,0,73.3623623782374,0,1,0,3,1,0.072463768115942,"Inter"
"246","M",1,0,352.874637062945,0,1,0,1,0,0.04,"NatSci"
"247","M",1,1,1231.06104161073,0,0,0,0,0,0.0888888888888889,"Humanities"
"248","F",0,1,85.9030917589636,0,0,0,2,0,0.269230769230769,"SocSci"
"249","M",1,0,913.243308650692,0,1,0,0,1,0.375,"NatSci"
"250","F",1,1,64.7669660088984,0,0,0,0,0,0,"NatSci"
"251","F",1,1,36.5858484828675,0,1,0,1,0,0.102941176470588,"Undecided"
"252","M",1,1,257.467166168004,0,1,0,0,0,0.0181818181818182,"SocSci"
"253","M",0,1,669.29635517517,0,0,0,0,0,0.235294117647059,"NatSci"
"254","F",0,1,566.730773064744,0,0,0,3,0,0.192307692307692,"Inter"
"255","M",1,1,1055.08863339862,0,0,0,0,0,0.0297029702970297,"NatSci"
"256","F",1,1,244.550184438012,0,1,0,1,0,0,"SocSci"
"257","M",1,1,227.973583139075,0,1,0,0,0,0,"Undecided"
"258","F",0,1,299.997750267317,0,0,0,1,1,0.072463768115942,"NatSci"
"259","M",1,1,63.1981040019147,0,1,0,1,0,0.109375,"Undecided"
"260","M",0,1,426.398652831663,0,0,1,0,0,0,"Inter"
"261","F",1,1,1205.66311174298,0,0,0,0,0,0.0571428571428571,"SocSci"
"262","M",1,0,984.512196452939,0,1,0,0,0,0.0416666666666667,"Undecided"
"263","F",0,1,128.800403016368,0,0,0,1,0,0.115044247787611,"SocSci"
"264","F",0,0,79.18021386375,0,0,0,0,0,0,"Undecided"
"265","F",0,0,62.8807917881497,0,1,0,0,0,0.0294117647058824,"SocSci"
"266","F",0,1,215.783949171274,1,0,0,0,0,0.0238095238095238,"NatSci"
"267","M",1,1,216.110440338288,0,0,0,0,0,0.0121951219512195,"NatSci"
"268","F",1,1,420.6176293239,1,0,0,0,0,0.109756097560976,"SocSci"
"269","F",0,1,223.889242428852,0,0,0,1,0,0.133333333333333,"Undecided"
"270","F",1,1,1062.93371446811,0,0,0,0,0,0.0571428571428571,"Undecided"
"271","F",0,1,1328.20196277805,1,0,1,0,0,0.0645161290322581,"SocSci"
"272","M",0,1,816.284887785668,0,1,0,1,0,0.0740740740740741,"Undecided"
"273","M",1,1,192.832654842907,0,1,0,0,0,0,"SocSci"
"274","F",1,1,101.543363747768,0,1,0,1,0,0.0133333333333333,"Humanities"
"275","M",0,1,183.451835174006,0,1,0,1,0,0,"NatSci"
"276","F",1,1,721.140744390161,0,1,0,1,0,0.25,"SocSci"
"277","M",0,1,1852.85044777826,0,0,0,0,0,0.0476190476190476,"Undecided"
"278","F",0,1,610.604749172671,0,0,0,1,0,0.0277777777777778,"SocSci"
"279","M",1,1,186.848567970662,0,0,0,0,0,0,"NatSci"
"280","F",0,1,60.1782374646555,0,0,0,2,0,0.0476190476190476,"NatSci"
"281","F",0,1,97.0774491360973,0,0,0,0,0,0.0273972602739726,"SocSci"
"282","F",1,1,1665.13814193809,0,1,0,0,1,0.0285714285714286,"SocSci"
"283","F",1,1,1925.51381287705,0,0,0,0,0,0.0833333333333333,"NatSci"
"284","M",0,1,67.7704349726414,0,1,0,0,0,0.0256410256410256,"SocSci"
"285","M",0,1,208.158193621841,0,1,0,0,0,0.0568181818181818,"SocSci"
"286","M",0,1,199.783274739292,0,0,0,1,0,0.192307692307692,"NatSci"
"287","F",1,1,191.136602310647,0,1,0,0,0,0.0352941176470588,"NatSci"
"288","M",1,1,1054.35327433542,0,0,0,0,0,0.0138888888888889,"SocSci"
"289","M",0,1,983.616007968442,0,0,0,0,0,0.0571428571428571,"SocSci"
"290","F",0,1,127.873590571338,0,1,1,1,1,0.0224719101123595,"Humanities"
"291","F",0,1,1852.46714144638,0,0,0,2,0,0.0208333333333333,"Humanities"
"292","M",0,1,56.2390300295227,0,1,0,1,0,0,"NatSci"
"293","M",0,1,101.521369288036,0,0,0,0,0,0.0217391304347826,"NatSci"
"294","F",0,1,358.391691366938,0,0,0,0,0,0.0833333333333333,"Undecided"
"295","F",0,1,69.6673129657082,0,1,0,2,0,0.1,"SocSci"
"296","F",0,1,20.4177953277215,0,1,0,2,0,0.272727272727273,"NatSci"
"297","F",0,1,124.756673759302,0,0,0,0,0,0.0166666666666667,"SocSci"
"298","F",1,1,902.999152790029,0,0,0,0,0,0.024390243902439,"Undecided"
"299","F",1,0,63.966520333924,0,0,0,0,0,0,"Undecided"
"300","M",0,0,804.256723881526,0,1,0,0,0,0.019047619047619,"NatSci"
"301","F",0,0,110.651082484295,0,0,0,1,0,0.0227272727272727,"Humanities"
"302","M",0,1,178.785138985429,0,1,0,0,0,0,"Undecided"
"303","M",0,1,460.661201526932,0,0,0,0,0,0.142857142857143,"SocSci"
"304","M",0,0,903.03553474065,0,1,0,1,0,0.142857142857143,"Undecided"
"305","F",0,1,1560.81725641394,0,1,0,0,0,0.0952380952380952,"Inter"
"306","F",0,1,55.7076315666115,0,0,0,0,0,0,"Arts"
"307","M",0,0,214.768170245482,0,1,0,0,0,0.0117647058823529,"SocSci"
"308","M",0,1,280.796076282965,1,0,1,1,0,0.0304878048780488,"Arts"
"309","M",0,1,1082.17495967243,0,0,0,0,0,0.0357142857142857,"NatSci"
"310","F",0,1,87.9119027024651,0,0,0,0,0,0.0434782608695652,"Humanities"
"311","F",0,1,68.4013334345938,0,1,0,0,0,0.027027027027027,"NatSci"
"312","M",0,1,24.973474719213,0,0,0,2,0,0.0645161290322581,"NatSci"
"313","M",1,1,1880.80847774294,0,1,0,1,0,0,"Undecided"
"314","M",1,1,65.6144332896704,0,1,0,1,0,0,"SocSci"
"315","M",0,0,146.27159999696,0,0,0,1,2,0.18796992481203,"SocSci"
"316","M",1,1,62.8470232660659,0,1,0,2,0,0.230769230769231,"Undecided"
"317","F",1,1,119.644366031214,0,0,0,1,0,0.0263157894736842,"SocSci"
"318","F",1,1,59.751452557127,0,0,0,0,0,0.272727272727273,"SocSci"
"319","M",1,1,419.647764592245,0,0,0,0,0,0.025,"SocSci"
"320","M",0,1,59.921984879406,0,1,0,1,0,0.0606060606060606,"SocSci"
"321","M",1,1,208.884275552047,0,0,0,0,0,0.102564102564103,"Undecided"
"322","F",1,1,68.9327950006231,0,0,0,0,0,0.0158730158730159,"Arts"
"323","F",0,1,2006.13503771014,0,0,0,0,0,0.0975609756097561,"Undecided"
"324","F",0,0,507.872972093366,0,0,0,1,0,0.0333333333333333,"Humanities"
"325","F",0,0,517.114153208292,0,0,0,0,0,0.03125,"NatSci"
"326","F",1,1,240.467796960105,0,0,0,1,0,0.0454545454545455,"Humanities"
"327","F",0,1,261.309632998087,0,0,0,2,0,0.0612244897959184,"NatSci"
"328","F",0,1,1941.37908456421,0,0,1,1,0,0.0180722891566265,"Inter"
"329","F",0,1,581.437197716133,0,0,0,0,0,0.0357142857142857,"NatSci"
"330","M",1,1,279.69626852953,0,1,0,0,0,0,"Undecided"
"331","M",0,1,276.376332610874,0,1,0,0,0,0.0697674418604651,"NatSci"
"332","F",1,1,579.471311205221,0,0,0,1,0,0.166666666666667,"NatSci"
"333","M",0,1,202.452550263578,0,1,0,0,1,0.0173913043478261,"NatSci"
"334","F",0,1,2.01559986668288,0,1,0,0,0,0.217391304347826,"SocSci"
"335","M",1,1,1321.76389452856,0,1,0,1,0,0.212121212121212,"NatSci"
"336","F",1,1,585.551647738068,0,0,0,0,0,0.0289855072463768,"SocSci"
"337","M",0,1,210.441870812439,0,1,0,1,0,0.0428571428571429,"Undecided"
"338","M",0,0,2.81933863924095,0,1,0,2,0,0.0535714285714286,"NatSci"
"339","M",1,1,540.532796241622,0,1,0,0,0,0.0769230769230769,"Undecided"
"340","F",1,1,540.559869886053,0,1,0,0,0,0.0333333333333333,"NatSci"
"341","M",1,1,1316.04144834138,0,1,0,0,0,0,"SocSci"
"342","F",0,1,95.465800500175,0,1,0,0,0,0,"SocSci"
"343","F",0,1,98.7752366296624,0,0,0,1,0,0.0344827586206897,"SocSci"
